Temps;Co-Produit;LPlume;LSang;LV_Cuiseur_1;LV_Cuiseur_2;LV_Cuiseur_3
14/01/2023;177.2;32.3;28.3;36.3;37.5;42.8
15/01/2023;24.4;8.7;6.5;3.8;1.8;3.6
16/01/2023;150.4;25;25.1;31.3;32.6;36.5
17/01/2023;178.9;30.5;30.7;35;41.9;40.7
18/01/2023;182.3;35.4;29.1;32.6;36.3;49
19/01/2023;175.5;31.3;27.6;36.7;37.6;42.2
20/01/2023;170.1;30.6;23.6;33.6;40.9;41.3
21/01/2023;174.9;39.4;23.3;34.7;35.9;41.6
22/01/2023;35.1;4.6;11;6.8;3.7;9.1
23/01/2023;154.1;25.1;26.3;31.1;36.1;35.4
24/01/2023;203.5;37.2;28.1;45;44.7;48.5
25/01/2023;204.1;39.9;30.9;39;42.4;51.8
26/01/2023;184.1;37.2;28.6;36.8;38.9;42.5
27/01/2023;177;32.2;30.5;36.1;34.8;43.4
28/01/2023;170.7;30;27.1;37.7;37.6;38.3
29/01/2023;8.1;2.8;5.3;null;null;null
30/01/2023;157.6;27.9;24.5;39.5;37.2;28.5
31/01/2023;176.7;35;30.1;36.2;36.8;38.6
01/02/2023;168.9;26.7;29.7;31;34;47.6
02/02/2023;178.2;40.1;28.8;27.1;39.2;43
03/02/2023;157.9;23.1;26.2;34.4;36.4;37.5
04/02/2023;175.2;39.1;30;33.5;30.5;42.1
05/02/2023;22.4;5.9;5.1;5.5;2.8;3.2
06/02/2023;142.5;24.6;24;14.3;36.3;43
07/02/2023;192.2;35.9;29.3;40.8;41.1;45.2
08/02/2023;149.9;30.4;26;26.8;32.3;34.4
09/02/2023;143.7;21.3;20.2;29.9;28.8;43.6
10/02/2023;170.8;31;30.1;28.6;35.5;45.4
11/02/2023;174.8;30.3;29.8;35.4;35.6;43.9
12/02/2023;20.3;10.7;6.1;null;3;0.5
13/02/2023;160.7;30.8;24.8;28.2;32.6;44.4
14/02/2023;163.6;25;28.2;20.1;40.7;49.5
15/02/2023;165.8;30.5;25.6;30.9;38.3;40.6
16/02/2023;140.5;32.1;23;23.2;26.7;34.6
22/02/2023;909.1;174.1;145.9;196;168.3;225.6
23/02/2023;160.5;27.4;27.8;30.6;37.5;37.1
24/02/2023;163;27.3;28.3;26.9;35.8;44.5
25/02/2023;144.6;24.7;23.1;28;32.5;36.5
26/02/2023;17.8;9.8;5.4;2.4;0.4;null
27/02/2023;150.4;26.1;36.6;17.7;39.5;30.3
28/02/2023;186.5;41.1;49.1;12.4;37;46.9
01/03/2023;190.3;42.6;47.1;15.3;41.8;43.5
02/03/2023;166.4;32;45;11.4;34.7;43.3
03/03/2023;170.5;32.7;45;11.7;37.4;43.7
04/03/2023;170.8;39.1;41.3;13.6;33.1;43.7
05/03/2023;29.4;7;7.7;1.6;6.7;6.4
06/03/2023;153.9;26.1;38.9;9.8;38.2;40.8
07/03/2023;183;41.5;47.2;14.8;35.1;44.3
08/03/2023;190.6;43.1;50.8;16.7;41.8;38.3
09/03/2023;150.1;29.2;40.1;11.7;30.8;38.2
10/03/2023;189;42.4;52.2;14.4;41.3;38.7
11/03/2023;164.5;32.5;46.2;10.5;36;39.3
12/03/2023;25.8;8.6;7.8;1.9;3.1;4.3
13/03/2023;151.1;26.9;47;9.2;34.1;34.1
14/03/2023;195.6;46.2;45.4;14.5;41.4;48.1
15/03/2023;186.8;35;52.5;11.3;39.2;48.7
16/03/2023;165.2;25.9;53.5;7.1;34.9;43.9
17/03/2023;168.4;41.2;34.9;15;31.8;45.5
18/03/2023;181.6;35.2;53.6;12;33.9;46.9
19/03/2023;24.2;5.8;9.6;1.9;3.7;3.2
20/03/2023;146.7;28.7;49.1;9.8;32.2;26.9
21/03/2023;163.4;31.3;48.4;9.6;32.4;41.6
22/03/2023;208.2;42;53.5;15.3;44.7;52.7
23/03/2023;187.3;39.3;51.5;13.8;38.5;44.2
24/03/2023;177.5;32;53;8;42.1;42.3
25/03/2023;169.2;31.2;51.3;8.5;35.7;42.6
26/03/2023;12.1;5.9;5.1;1.1;null;null
27/03/2023;149.3;23.9;40.7;6.8;29.1;48.8
28/03/2023;169.2;32.3;45.2;9;35.8;46.9
29/03/2023;150.6;23.3;41.3;6.3;31.4;48.3
30/03/2023;172.4;39.6;43.5;10.5;38.8;40.1
31/03/2023;150.2;25.2;44.1;7.5;31.3;41.9
01/04/2023;140.8;23.6;37.1;6.2;27.9;46.1
02/04/2023;4.4;0.8;3.5;null;null;null
03/04/2023;148.70000000001164;24.80000000000291;42.400000000001455;7.200000000000728;38;36.80000000000291
04/04/2023;171.5;30.900000000001455;51.70000000000073;8.599999999998545;37.29999999999927;43
05/04/2023;177.1999999999971;39.20000000000073;47.400000000001455;10.399999999997817;40.400000000001455;39.900000000001455
